roomIndex_1,roomIndex_2,coordiates_1,coordiates_2,recordPow,recordSnr,recordAoaAz,recordAzErr,recordBfGain
4,79,11.75,-0.55,-75.9629603203524,46.5409706483494,-117,0.0429999999999922,11.9667664497222
4,80,11.9,-0.55,-76.3906956992915,44.5031026012641,-125,7.26799999999999,11.6806297153405
4,81,12.05,-0.55,-75.7889604201849,44.4214210666965,-131,12.504,11.3936887782094
4,82,12.2,-0.55,-76.5561610760114,43.5054982818407,-119.2,0.0489999999999924,11.1064997701127
4,83,12.35,-0.55,-76.4797970051386,44.0457553239307,-120,0.00900000000000034,10.8195483763325
4,84,12.5,-0.55,-77.0356344596225,43.9329934190141,-120.2,0.522000000000006,10.8770621761668
4,85,12.65,-0.55,-76.3280387556535,43.3844448659096,-121.4,0.0429999999999922,11.1521629908112
4,86,12.8,-0.55,-76.5329133520651,45.2474756003377,-122.2,0.0480000000000018,11.4192993644395
4,87,12.95,-0.55,-75.5272772128856,43.6207633772563,-122.8,0.0510000000000019,11.6783938536848
5,70,10.4,-0.7,-78.299173821645,43.2366112687282,-134,24.178,14.1998945895709
5,71,10.55,-0.7,-76.8621545107902,42.5722349922207,-110.8,0.0979999999999848,13.9665989029284
5,72,10.7,-0.7,-77.2514082248566,43.6489136062236,-117.8,6.229,13.7216428584578
5,73,10.85,-0.7,-78.5710973718996,43.1494175653154,-107.6,4.83000000000001,13.4699462136627
5,74,11,-0.7,-77.0568485173705,44.2572812226968,-113.2,0.0789999999999935,13.2124740423055
5,75,11.15,-0.7,-77.2829950479604,44.1880029037089,-114.2,0.0829999999999984,12.9500505802035
5,76,11.3,-0.7,-76.406818166476,44.3893068416288,-115,0.0559999999999974,12.6835119381785
5,77,11.45,-0.7,-77.1989082487825,44.4446814181231,-115.8,0.039999999999992,12.3982138236374
5,78,11.6,-0.7,-77.3884596929416,45.467208787931,-116.6,0.0349999999999966,12.1093617801834
5,79,11.75,-0.7,-77.2805619971441,44.8430170913267,-117.4,0.041000000000011,11.8188462009871
5,80,11.9,-0.7,-77.1145746443784,47.2030729717215,-118.2,0.0579999999999927,11.5271964514777
5,81,12.05,-0.7,-76.4881436993848,46.9599279469879,-122.2,3.28700000000001,11.2350502131855
5,82,12.2,-0.7,-77.3189051303301,44.6480292853739,-123.4,3.72700000000002,10.9429353478758
